name,year,date,pitch,whip,inning,fati
윤지웅,2015,06-24,6,0.0,0.2,12.0
윤지웅,2015,06-26,20,2.0,1.1,60.0
윤지웅,2015,06-27,17,3.0,0.1,68.0
윤지웅,2015,06-28,6,0.0,0.1,24.0
윤지웅,2015,07-01,3,1.0,0.0,6.0
윤지웅,2015,07-03,8,2.0,0.1,24.0
윤지웅,2015,07-05,38,1.0,3.0,114.0
윤지웅,2015,07-08,7,0.0,0.1,14.0
윤지웅,2015,07-09,3,0.0,0.2,12.0
윤지웅,2015,07-10,6,0.0,0.1,24.0
윤지웅,2015,07-11,6,0.0,0.2,24.0
윤지웅,2015,07-21,11,1.0,0.2,11.0
윤지웅,2015,07-26,1,0.0,0.0,1.0
윤지웅,2015,07-28,18,1.0,1.0,54.0
윤지웅,2015,07-29,8,1.0,0.1,32.0
윤지웅,2015,07-30,15,0.0,1.0,60.0
윤지웅,2015,08-01,8,0.0,0.2,24.0
윤지웅,2015,08-05,17,1.0,1.2,25.5
윤지웅,2015,08-06,7,1.0,0.1,28.0
윤지웅,2015,08-11,2,1.0,0.1,2.0
윤지웅,2015,08-14,16,0.0,1.1,32.0
윤지웅,2015,08-15,1,0.0,0.1,4.0
윤지웅,2015,08-18,11,1.0,0.2,22.0
윤지웅,2015,08-19,2,0.0,0.1,8.0
윤지웅,2015,08-21,7,0.0,0.2,21.0
윤지웅,2015,08-23,9,1.0,0.1,27.0
윤지웅,2015,08-27,9,0.0,0.1,13.5
윤지웅,2015,08-30,13,2.0,0.0,26.0
윤지웅,2015,09-02,29,0.0,2.1,58.0
윤지웅,2015,09-04,14,1.0,1.0,42.0
윤지웅,2015,09-05,15,2.0,0.2,60.0
윤지웅,2015,09-06,12,1.0,1.1,48.0
윤지웅,2015,09-08,11,0.0,1.0,33.0
윤지웅,2015,09-10,6,0.0,0.1,18.0
윤지웅,2015,09-13,27,0.0,2.0,54.0
윤지웅,2015,09-19,18,0.0,1.0,18.0
윤지웅,2015,09-20,7,1.0,0.2,28.0
윤지웅,2015,09-25,14,1.0,1.0,14.0
윤지웅,2015,09-27,20,1.0,1.1,60.0
윤지웅,2015,09-28,11,2.0,1.0,44.0
윤지웅,2015,10-02,13,0.0,1.0,19.5
윤지웅,2015,10-03,13,2.0,0.2,52.0
윤지웅,2015,10-06,4,0.0,0.1,8.0
윤지웅,2016,04-17,8,0.0,0.1,8.0
윤지웅,2016,04-19,21,1.0,1.1,63.0
